stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1455,1455,Bogdanki/Szkoła(1455),,52.947070,23.150071,2,
1212,1212,Klewinowo Nowe(1212),,52.982635,23.179342,2,
1454,1454,Baranki/Pętla(1454),,52.945986,23.113654,2,
1211,1211,Klewinowo/Pętla(1211),,52.980355,23.189040,2,
1453,1453,Bogdanki/Wieś(1453),,52.943957,23.154150,2,
800,800,Wiosenna(800),,53.104168,23.152347,1,
801,801,Izabelin/Dworska(801),,53.086802,23.157292,2,
802,802,Olmonty/Jaworowa(802),,53.084243,23.161650,2,
803,803,Izabelin/Dworska(803),,53.087048,23.157038,2,
804,804,Porosły/Kolonia(804),,53.150493,23.050812,2,
805,805,Nowosiółki(805),,53.157047,23.012495,2,
806,806,Choroszcz/Mickiewicza Nexmar (B)(806),,53.152407,23.004198,2,
807,807,Choroszcz/Mickiewicza Nexmar(807),,53.152275,23.004122,2,
808,808,Łyski/Fabryka Okien(808),,53.154198,23.028783,2,
809,809,Porosły/Kolonia(809),,53.150448,23.051870,2,
1477,1477,Złotniki/Kolonia(1477),,52.965524,23.156829,2,
810,810,Hryniewicze/Śródlesie (J)(810),,53.084322,23.133390,1,
811,811,Hryniewicze (J)(811),,53.076900,23.137611,1,
812,812,Hryniewicze/MPRD (J)(812),,53.067720,23.136731,1,
813,813,Hryniewicze/Wysypisko (J)(813),,53.060518,23.140867,1,
814,814,Lewickie/PKS (J)(814),,53.049237,23.142978,1,
815,815,Lewickie/Firma CHM (J)(815),,53.044123,23.141482,1,
816,816,Juchnowiec/PKS(816),,53.017244,23.139538,2,
817,817,Lewickie/Firma CHM (B)(817),,53.044947,23.141879,1,
818,818,Lewickie/PKS (B)(818),,53.049256,23.143129,1,
819,819,Hryniewicze/Wysypisko (B)(819),,53.061636,23.139377,1,
820,820,Hryniewicze/MPRD (B)(820),,53.068746,23.136981,1,
821,821,Hryniewicze (B)(821),,53.079615,23.136424,1,
822,822,Hryniewicze/Śródlesie (B)(822),,53.083984,23.133601,1,
823,823,Lewickie/Ogródki Działkowe(J)(823),,53.033854,23.141026,2,
824,824,Lewickie/Ogródki Działkowe(B)(824),,53.034915,23.140704,2,
825,825,Juchnowiec/Wieś(825),,53.009164,23.131670,2,
826,826,Juchnowiec/Pętla(826),,53.004197,23.136818,2,
827,827,Juchnowiec/Mleczarnia(827),,53.009467,23.131503,2,
829,829,Juchnowiec/Młyn(829),,53.013571,23.136376,2,
1263,1263,Kleosin/Osiedle(1263),,53.104086,23.117547,1,
1262,1262,Kleosin/Kraszewskiego(1262),,53.101736,23.117288,1,
1261,1261,Kleosin/Kraszewskiego(1261),,53.102105,23.116867,1,
1260,1260,Kleosin/Osiedle(1260),,53.103524,23.117455,1,
830,830,Juchnowiec/Młyn(830),,53.015530,23.138169,2,
831,831,Juchnowiec/Rumejki (B)(831),,53.025898,23.142416,2,
832,832,Juchnowiec/Rumejki (J)(832),,53.024340,23.141985,2,
833,833,Lewickie-Kolonia (J)(833),,53.055735,23.144818,1,
834,834,Lewickie-Kolonia (B)(834),,53.056682,23.144996,1,
835,835,Juchnowiec(835),,53.003988,23.137044,2,
836,836,Wólka(836),,52.999940,23.151498,2,
837,837,Biele/Pętla(837),,52.982175,23.147270,2,
838,838,Juchnowiec D./Wólka(838),,53.003279,23.143029,2,
839,839,Wólka (B)(839),,53.001101,23.150703,2,
840,840,Wrocławska/Zodiak(840),,53.122000,23.088895,2,
841,841,Jurowiecka/Poleska(841),,53.140939,23.158880,1,
600,600,al. Jana Pawła II/Pomnik(600),,53.141298,23.099857,1,
601,601,al. Jana Pawła II/Bacieczki(601),,53.143310,23.088936,1,
843,843,Boboli/Cmentarz(843),,53.135462,23.083277,1,
602,602,al. Jana Pawła II/Centrum Handlowe(602),,53.137958,23.117022,1,
844,844,42. Pułku Piechoty/Nowa Wygoda II(844),,53.141154,23.229568,1,
603,603,al. Jana Pawła II/Stacja Paliw(603),,53.138585,23.114980,1,
845,845,Klepacka/Kościół(845),,53.112947,23.086917,1,
604,604,al. Jana Pawła II/NSZ(604),,53.144547,23.083411,1,
605,605,al. Jana Pawła II/al. Niepodległości(605),,53.143091,23.088552,1,
606,606,Żeromskiego/Cerkiew Św. Jerzego(606),,53.110123,23.130898,1,
607,607,Żeromskiego/Pułaskiego(607),,53.110145,23.131198,1,
849,849,Zawady/Pętla(849),,53.160998,23.113844,1,
608,608,Transportowa/Składowa(608),,53.113505,23.128993,1,
609,609,Transportowa/Ekologiczna(609),,53.110940,23.118610,1,
850,850,Stadion Miejski/Pętla(850),,53.104852,23.152644,1,
851,851,Porosły/Stacja Paliw(851),,53.148766,23.057120,2,
852,852,Łyski(852),,53.151608,23.043285,2,
610,610,Transportowa/Ekologiczna(610),,53.111062,23.120052,1,
853,853,Łyski/Fabryka Okien(853),,53.155618,23.026327,2,
611,611,Transportowa/Składowa(611),,53.112688,23.126505,1,
854,854,Choroszcz/Powst.Styczniowego(854),,53.146672,22.989773,2,
612,612,Transportowa/Straż Pożarna(612),,53.112462,23.125395,1,
855,855,Choroszcz/pl. Brodowicza Szpital(855),,53.152292,22.985857,2,
613,613,Suchowolca/Proroka Eliasza(613),,53.108145,23.211797,1,
614,614,Zabłudowska/Zalesie(614),,53.100090,23.226755,1,
856,856,Choroszcz/Rynek 11 Listopada(856),,53.142783,22.987848,2,
615,615,Zabłudowska/Kolonia Dojlidy(615),,53.094027,23.237830,1,
857,857,Choroszcz/Rynek 11 Listopada(857),,53.142726,22.987854,2,
858,858,Choroszcz/Szpital(858),,53.152527,22.986170,2,
616,616,Gminna/Zabłudowska(616),,53.092806,23.240888,1,
859,859,Choroszcz/Szkoła(859),,53.145432,22.991237,2,
617,617,Zabłudowska/Gminna(617),,53.091340,23.242702,1,
618,618,Zabłudowska/Stoczni Gdańskiej(618),,53.097247,23.232297,1,
619,619,Zabłudowska/Masztowa(619),,53.101025,23.225093,1,
860,860,Nowosiółki(860),,53.157711,23.011358,2,
861,861,Łyski(861),,53.151265,23.044617,2,
620,620,Suchowolca/Dojlidy Cmentarz II (K)(620),,53.104002,23.219497,1,
862,862,Porosły/Stacja Paliw(862),,53.148003,23.060701,2,
621,621,Zabłudowska/Kolonia Dojlidy (K)(621),,53.102662,23.222033,1,
863,863,Choroszcz/Sienkiewicza(863),,53.148597,22.986244,2,
864,864,Choroszcz/Akacjowa(864),,53.148377,22.987416,2,
622,622,Zabłudowska/Stoczni Gdańskiej(622),,53.097165,23.232067,1,
623,623,Kuriany/PKS (K)(623),,53.081667,23.258050,2,
865,865,Choroszcz/Mickiewicza(865),,53.146520,22.994657,2,
866,866,Karakule/Bagnowska(866),,53.170287,23.260088,1,
624,624,Kuriany I(624),,53.083949,23.256935,2,
867,867,Karakule/Turystyczna(867),,53.174215,23.260910,1,
625,625,Kuriany (B)(625),,53.078120,23.261368,2,
868,868,Ogrodniczki/Szkoła(868),,53.183298,23.262777,1,
869,869,Ogrodniczki/Szkoła(869),,53.183752,23.262495,1,
627,627,Zabłudowska/Zagórki(627),,53.095100,23.236222,1,
628,628,Kuriany II(628),,53.087334,23.255795,2,
629,629,Suchowolca/Ordynacka(629),,53.103953,23.219860,1,
870,870,Karakule/Wąska(870),,53.174733,23.261007,1,
871,871,Karakule/Bagnowska(871),,53.169947,23.259972,1,
630,630,Suchowolca/Stacja Paliw(630),,53.106932,23.214308,1,
872,872,Solniczki I(872),,53.071334,23.208047,2,
631,631,Suchowolca/Cmentarz Prawosławny(631),,53.108212,23.212060,1,
873,873,Nowodworce(873),,53.190650,23.238616,2,
874,874,Ogrodniczki/Polna (C)(874),,53.184860,23.270772,1,
632,632,Suchowolca/Kościół (C)(632),,53.110745,23.207487,1,
875,875,Ogrodniczki/Tartak (C)(875),,53.182318,23.275135,1,
633,633,Stoczni Gdańskiej/Zabłudowska(633),,53.095660,23.229923,1,
876,876,Ciasne(876),,53.172777,23.288062,1,
634,634,Stoczni Gdańskiej/Wodna(634),,53.093908,23.224592,1,
877,877,Ogrodniczki/Tartak (B)(877),,53.182673,23.274875,1,
635,635,Stoczni Gdańskiej/Kościół(635),,53.094018,23.216258,1,
878,878,Ogrodniczki/Polna (B)(878),,53.185083,23.270617,1,
636,636,Stoczni Gdańskiej/Kościół(636),,53.093958,23.217748,1,
637,637,Stoczni Gdańskiej/Milowa(637),,53.094207,23.226373,1,
638,638,Stoczni Gdańskiej/Zabłudowska(638),,53.096140,23.231248,1,
880,880,Wasilków/Rynek(880),,53.198702,23.207127,2,
881,881,Centrum Przydworcowe st. 1(881),,53.133265,23.136033,1,
640,640,Kołłątaja/Dworska(640),,53.144978,23.100473,1,
882,882,Centrum Przydworcowe st. 2(882),,53.133183,23.136189,1,
641,641,Kołłątaja/Bacieczki(641),,53.148213,23.091402,1,
883,883,Centrum Przydworcowe st. 3(883),,53.133087,23.136262,1,
400,400,Raginisa/Uśmiechu(400),,53.167211,23.207956,1,
642,642,Kołłątaja/KEN(642),,53.151882,23.089402,1,
884,884,Centrum Przydworcowe st. 4(884),,53.133120,23.136800,1,
401,401,Raginisa/Uśmiechu(401),,53.166247,23.205532,1,
643,643,Kołłątaja/Mackiewicza(643),,53.150701,23.089614,1,
402,402,Raginisa/Familijna(402),,53.162600,23.200831,1,
644,644,Kołłątaja/Bacieczki(644),,53.147236,23.092430,1,
403,403,Raginisa/Kolbego(403),,53.160038,23.198410,1,
645,645,Kołłątaja/Dworska (C)(645),,53.144607,23.102545,1,
404,404,Raginisa/Cmentarz Farny(404),,53.152383,23.190527,1,
646,646,KEN/Pietkuna(646),,53.150653,23.086717,1,
405,405,Raginisa/Ogródki Działkowe(405),,53.169777,23.213842,1,
647,647,Wasilków/Dolina Cisów(647),,53.181408,23.187172,1,
406,406,Raginisa/Wysockiego(406),,53.149937,23.186770,1,
648,648,Zawady(648),,53.164665,23.110967,1,
649,649,Zawady(649),,53.164143,23.111342,1,
408,408,Karakule/Cmentarz(408),,53.176658,23.245493,1,
409,409,Ogrodniczki/Pętla(409),,53.188275,23.267630,1,
650,650,Zawady/Pętla(650),,53.161142,23.113688,1,
651,651,1000-lecia PP/Wileńska(651),,53.154340,23.152807,1,
893,893,Juchnowiec Dolny/Wólka(893),,53.003282,23.143270,2,
410,410,Ogrodniczki/Jeziorna(410),,53.188280,23.267310,1,
652,652,Wiosenna/Słoneczna(652),,53.108452,23.149365,1,
894,894,Solniczki II(894),,53.063400,23.210173,2,
653,653,Ignatki/Przemysłowa(653),,53.065732,23.093113,2,
411,411,Karakule/Kościół(411),,53.179687,23.243594,1,
654,654,Lodowa/Chłodna(654),,53.165463,23.118442,1,
412,412,Nowodworce PKS(412),,53.181159,23.241234,1,
413,413,Raginisa/Trawiasta(413),,53.155505,23.194290,1,
